label,max_turns,PSR_mean,RA_mean,Loc_mean
DeepSeek | none,1,0.3111111111111111,0.0,1.0
DeepSeek | none,2,0.4444444444444444,0.0,1.0
DeepSeek | none,3,0.5333333333333333,0.0,1.0
DeepSeek | none,4,0.6,0.0,1.0
DeepSeek | none,5,0.6222222222222222,0.0,1.0
DeepSeek | none,6,0.6888888888888889,0.0,1.0
DeepSeek | none,7,0.6444444444444445,0.0,1.0
DeepSeek | none,8,0.6222222222222222,0.0,1.0
DeepSeek | none,9,0.6888888888888889,0.0,1.0
DeepSeek | none,10,0.6888888888888889,0.0,1.0
DeepSeek | none,11,0.7111111111111111,0.0,1.0
DeepSeek | none,12,0.7777777777777778,0.0,1.0
DeepSeek | none,13,0.7777777777777778,0.0,1.0
DeepSeek | override,1,0.17777777777777778,0.0,1.0
DeepSeek | override,2,0.4444444444444444,0.0,1.0
DeepSeek | override,3,0.5777777777777777,0.0,1.0
DeepSeek | override,4,0.5333333333333333,0.0,1.0
DeepSeek | override,5,0.6222222222222222,0.0,1.0
DeepSeek | override,6,0.5555555555555556,0.0,1.0
DeepSeek | override,7,0.6222222222222222,0.0,1.0
DeepSeek | override,8,0.6888888888888889,0.0,1.0
DeepSeek | override,9,0.6666666666666666,0.0,1.0
DeepSeek | override,10,0.7555555555555555,0.0,1.0
DeepSeek | override,11,0.7555555555555555,0.0,1.0
DeepSeek | override,12,0.6666666666666666,0.0,1.0
DeepSeek | override,13,0.7555555555555555,0.0,1.0
OpenAI  | none,1,0.6222222222222222,0.0,1.0
OpenAI  | none,2,0.6444444444444445,0.0,1.0
OpenAI  | none,3,0.7777777777777778,0.0,1.0
OpenAI  | none,4,0.8444444444444444,0.0,1.0
OpenAI  | none,5,0.8888888888888888,0.0,1.0
OpenAI  | none,6,0.8666666666666667,0.0,1.0
OpenAI  | none,7,0.9111111111111112,0.0,1.0
OpenAI  | none,8,0.9555555555555556,0.0,1.0
OpenAI  | none,9,0.9333333333333332,0.0,1.0
OpenAI  | none,10,0.9333333333333332,0.0,1.0
OpenAI  | none,11,0.9555555555555556,0.0,1.0
OpenAI  | none,12,0.8888888888888888,0.0,1.0
OpenAI  | none,13,0.9555555555555556,0.0,1.0
OpenAI  | override,1,0.6222222222222222,0.0,1.0
OpenAI  | override,2,0.7777777777777778,0.0,1.0
OpenAI  | override,3,0.8222222222222222,0.0,1.0
OpenAI  | override,4,0.8666666666666667,0.0,1.0
OpenAI  | override,5,0.8222222222222222,0.0,1.0
OpenAI  | override,6,0.8888888888888888,0.0,1.0
OpenAI  | override,7,0.8888888888888888,0.0,1.0
OpenAI  | override,8,0.9111111111111112,0.0,1.0
OpenAI  | override,9,0.9555555555555556,0.0,1.0
OpenAI  | override,10,0.9333333333333332,0.0,1.0
OpenAI  | override,11,0.9555555555555556,0.0,1.0
OpenAI  | override,12,0.8888888888888888,0.0,1.0
OpenAI  | override,13,0.9111111111111112,0.0,1.0
