mode,defense,max_turns,N_total,PSR_mean,PSR_lo,PSR_hi,RA_mean,RA_lo,RA_hi,Loc_mean,Loc_lo,Loc_hi
turns,override,1,45,0.6222222222222222,0.4762967000646754,0.7489211470165014,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,2,45,0.7777777777777778,0.637304262026367,0.8745544813399436,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,3,45,0.8222222222222222,0.6866989315634587,0.9070572107414617,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,4,45,0.8666666666666667,0.738224177587027,0.9374293636565033,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,5,45,0.8222222222222222,0.6866989315634587,0.9070572107414617,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,6,45,0.8888888888888888,0.7650062450910905,0.9515959956217445,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,7,45,0.8888888888888888,0.7650062450910905,0.9515959956217445,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,8,45,0.9111111111111111,0.792661488316343,0.9648894518657969,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,9,45,0.9555555555555556,0.8517222081611939,0.9877261309595557,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,10,45,0.9333333333333333,0.8214312561135918,0.977068383537853,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,11,45,0.9555555555555556,0.8517222081611939,0.9877261309595557,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,12,45,0.8888888888888888,0.7650062450910905,0.9515959956217445,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,13,45,0.9111111111111111,0.792661488316343,0.9648894518657969,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
